QUANTITY,SYNONYMS
PER BAG,
PER BUNDLE,PER BNDL
PER BOX,
PER CASE,
PER CARTON,
PER PACKAGE,PER PACK
PER INNER CARTON,
PER MASTER CARTON,
PIECES,
QUANTITY,QTY
