PART,ABBRS
PRESSURE RELIEF VALVE,TEMPERATURE PRESSURE RELIEF VALVE|T&P VALVE|T P VALVE|TP VALVE|T AND P RELIEF VALVE|T&P RELIEF VALVE|TEMPERATURE RELIEF VALVE|TEMPERATURE AND PRESSURE RELIEF VALVE|TEMPERATURE RELIEF VALVE|TEMPERATURE SAFETY RELIEF VALVE|TEMP AND PRESSURE RELIEF VALVE|T P RELIEF VALVE|T P SAFETY RELIEF VALVE|HEATER TEMPERATURE PRESSURE RELIEF VALVE
PREVENTER,PREVENTR|PRVNTR
RAISED,RSD
RANGE,STOVE|RANGETOP|GAS BURNER
RECEPTOR,RCPTR
RECIP,REC
REDUCER,REDCR
REDUCING,REDUCER
REFRIGERATOR,REF|FRIDGE|FRIG|REFRIG
REGULATOR,REG
RELIEF,RLF
REPAIR,REP
REPLACEMENT,RPLCMNT
RETAINER,RTNR
RING,RNG
ROUGH,RGH
SADDLE,SDL
SANITARY,SAN
SANITARY TEE,SAN TEE|SAN TE|SANTEE|SANTE
SCHIELD,SHLD
SCREW,SCRW|SCR
SCREWDRIVER,SCDR
SENSOR,SNSR|SENS|SEN|SNR
SERVICE SINK,SS
SERVICE WEIGHT,SV
SEWAGE TREATMENT PLANT,STP
SHOWER,SHWR|SHR|SHOW
SHUT-OFF,SHUTOFF
SINK,SNK
SLEEVE,SLV
SLIP X SLIP,SXS
SLOTTED,SLTD|SLT
SOCKET,SLIP|SCKT|SOC|SKT
SOLDERED,SLDR
SOLVENT,SOLV
SPIGOT X SPIGOT,S X S|SXS|STREET BY STREET
SPIGOT,SPG|SPGT
SPOUT,SPT
SPRAY IN STAINLESS,SS
SPRAY,SPRY
STAINLESS STEEL NOT SOCKET,XSS
STAINLESS STEEL,SSS|SS
STEEL,STL
STEM,STM
STRAIGHT ADAPTER,STREET
STRAIGHT,STR|STRT
STRAINER,ST|STRNR|STRN
STUB OUT,STUBOUT|STUB-OUT
SUPPLY,SPLY
SUPPORT,SPT|SUPT|SUPP
SWEAT,SOLDERED|CUP|SWT
SWING,SWNG|SWG
SWITCH,SW
SYSTEM,SYS
TANK,TNK
TAPPING,TAP
TEF TAPE,PTFE
TEMPERATURE,TEMP|TEMP.
THERMOSTAT,THERM|TSTAT
THERMOSTATIC EXPANSION VALVE,TXV
THERMOSTATIC MIXING VALVE,TMV
TOILET FLAPPER,
TOILET FLUSH VALVE,TOILET FV|TLT FV
TOILET,TLT|CLOSET|CLST|WC|WATER CLOSET|WTR CLST
TRAP PRIMER,T-PRIMR
TRIM,TRM
TRIP,TRP
UNIVERSAL,UNIV
URINAL,URN|URNL
UTILITY,UTY
VACCUM,VAC
VALVE,VLV|VLVE
VENT,VT
WASHER,WSHR
WATER,WTR
WATER HEATER,WH
WELD,WLD
WHEEL,WHL
WIDESPREAD LAVATORY,WLVR
WYE,Y
