role_id,permission_id
# Morsco Admin
d59d29fd-5ae1-46d4-8739-bb06440bc685,67d3abda-a8f3-4534-8858-735cf3272c06
d59d29fd-5ae1-46d4-8739-bb06440bc685,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
d59d29fd-5ae1-46d4-8739-bb06440bc685,09df3dbd-db77-4a17-9432-61fddf9ed955
d59d29fd-5ae1-46d4-8739-bb06440bc685,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
d59d29fd-5ae1-46d4-8739-bb06440bc685,3bc6775f-113b-4671-a3ee-76cb64b9a82f
d59d29fd-5ae1-46d4-8739-bb06440bc685,362dbb37-2fbc-4d25-becf-84d183170272
d59d29fd-5ae1-46d4-8739-bb06440bc685,6477e056-8cf5-4f2d-85bd-16375e14cbe4
d59d29fd-5ae1-46d4-8739-bb06440bc685,86c6a474-e633-477e-9cac-e398fa6f2466
d59d29fd-5ae1-46d4-8739-bb06440bc685,e88635a5-38d0-4c40-8be5-64f26616a35a
d59d29fd-5ae1-46d4-8739-bb06440bc685,4c17a89f-b456-4153-90e0-ea322a5b087d
d59d29fd-5ae1-46d4-8739-bb06440bc685,06233bd5-27e2-4663-b0c2-d144123c6a2f
# Account Admin
c1ab78f0-d877-4fe8-bfef-99586d8e4131,67d3abda-a8f3-4534-8858-735cf3272c06
c1ab78f0-d877-4fe8-bfef-99586d8e4131,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
c1ab78f0-d877-4fe8-bfef-99586d8e4131,09df3dbd-db77-4a17-9432-61fddf9ed955
c1ab78f0-d877-4fe8-bfef-99586d8e4131,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
c1ab78f0-d877-4fe8-bfef-99586d8e4131,3bc6775f-113b-4671-a3ee-76cb64b9a82f
c1ab78f0-d877-4fe8-bfef-99586d8e4131,362dbb37-2fbc-4d25-becf-84d183170272
c1ab78f0-d877-4fe8-bfef-99586d8e4131,6477e056-8cf5-4f2d-85bd-16375e14cbe4
c1ab78f0-d877-4fe8-bfef-99586d8e4131,86c6a474-e633-477e-9cac-e398fa6f2466
c1ab78f0-d877-4fe8-bfef-99586d8e4131,4c17a89f-b456-4153-90e0-ea322a5b087d
c1ab78f0-d877-4fe8-bfef-99586d8e4131,06233bd5-27e2-4663-b0c2-d144123c6a2f
# Purchase with Approval
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,67d3abda-a8f3-4534-8858-735cf3272c06
# Purchase - No Invoices
dd080d8d-b537-4531-bdab-f23268b39e12,67d3abda-a8f3-4534-8858-735cf3272c06
dd080d8d-b537-4531-bdab-f23268b39e12,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
dd080d8d-b537-4531-bdab-f23268b39e12,3bc6775f-113b-4671-a3ee-76cb64b9a82f
# Standard Access
2419358e-5c74-4d07-a8d2-37c324afbe6c,67d3abda-a8f3-4534-8858-735cf3272c06
2419358e-5c74-4d07-a8d2-37c324afbe6c,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
2419358e-5c74-4d07-a8d2-37c324afbe6c,3bc6775f-113b-4671-a3ee-76cb64b9a82f
2419358e-5c74-4d07-a8d2-37c324afbe6c,09df3dbd-db77-4a17-9432-61fddf9ed955
# Invoice Only
6eb23da7-dc73-49e8-803a-791fa06c24d9,09df3dbd-db77-4a17-9432-61fddf9ed955
