PROCESS,ABBRS
ANNEALED,
CASE HARDENED,
CAST,
COLD FORMED,
COLD ROLLED,
DIE CAST,
EXTRUDED,
FABRICATED,
FINISHED,
FORGED BODY,
FORGED,
GALVANIZED,
HARDENED,
HEAT TREATED,
HOT/COLD ROLLED,
INJECTION MOLDED,
MACHINED,
MOLDED,
PRECISION FORMED,
PRECISION GROUND,
RIGHT ANGLE HEAT TREATED TEETH,
SOLVENT WELD,
STAMPED,
TEMPERED,
WELDED,
WROT,
